Date,Open,High,Low,Close,Adj Close,Volume
30-Jun-15,17599.96,17714.66,17576.5,17619.51,17619.51,1264600
1-Jul-15,17638.12,17801.83,17638.12,17757.91,17757.91,870100
2-Jul-15,17763.32,17825.49,17687.52,17730.11,17730.11,830800
6-Jul-15,17728.08,17734.36,17564.36,17683.58,17683.58,901300
7-Jul-15,17684.92,17793.45,17465.68,17776.91,17776.91,1058400
8-Jul-15,17759.01,17759.01,17496.22,17515.42,17515.42,698300
9-Jul-15,17530.38,17764.85,17530.38,17548.62,17548.62,1005200
10-Jul-15,17561.12,17797.49,17561.12,17760.41,17760.41,858000
13-Jul-15,17787.27,17987.57,17787.27,17977.68,17977.68,863800
14-Jul-15,17974.61,18072.82,17956.17,18053.58,18053.58,767400
15-Jul-15,18053.38,18090.39,18010.15,18050.17,18050.17,804600
16-Jul-15,18078.16,18131.61,18065.33,18120.25,18120.25,850300
17-Jul-15,18117.58,18121.12,18032.06,18086.45,18086.45,1065100
20-Jul-15,18085.91,18137.12,18064.5,18100.41,18100.41,750600
21-Jul-15,18096.67,18096.67,17868.34,17919.29,17919.29,1001700
22-Jul-15,17918.35,17919.35,17807.41,17851.04,17851.04,1123700
23-Jul-15,17853.78,17860.95,17705.03,17731.92,17731.92,886000
24-Jul-15,17731.05,17756.54,17553.73,17568.53,17568.53,1034700
27-Jul-15,17561.78,17561.78,17399.17,17440.59,17440.59,1178600
28-Jul-15,17449.81,17650.07,17449.81,17630.27,17630.27,1034500
29-Jul-15,17631.4,17776.78,17629.2,17751.39,17751.39,931400
30-Jul-15,17743.24,17761.25,17640.85,17745.98,17745.98,766500
31-Jul-15,17755.87,17783.59,17671.59,17689.86,17689.86,1061200
3-Aug-15,17696.74,17704.76,17496.61,17598.2,17598.2,878800
4-Aug-15,17596.93,17635.78,17505.5,17550.69,17550.69,990600
5-Aug-15,17555.24,17661.37,17492.9,17540.47,17540.47,1024500
6-Aug-15,17542.61,17572.04,17362.86,17419.75,17419.75,961700
7-Aug-15,17414.94,17414.94,17279.08,17373.38,17373.38,818000
10-Aug-15,17375.18,17629.13,17375.18,17615.17,17615.17,924300
11-Aug-15,17593.59,17593.59,17352.63,17402.84,17402.84,1030100
12-Aug-15,17382.93,17423.9,17125.81,17402.51,17402.51,1204000
13-Aug-15,17401.64,17481.78,17341.34,17408.25,17408.25,885500
14-Aug-15,17410.12,17492.9,17394.06,17477.4,17477.4,821200
17-Aug-15,17472.66,17551.4,17341.72,17545.18,17545.18,733800
18-Aug-15,17537.3,17568.4,17486.42,17511.34,17511.34,799000
19-Aug-15,17508.74,17517.19,17282.42,17348.73,17348.73,1047200
20-Aug-15,17345.32,17345.32,16990.69,16990.69,16990.69,1285300
21-Aug-15,16990.69,16990.69,16459.55,16459.75,16459.75,2251700
24-Aug-15,16459.75,16459.75,15370.33,15871.35,15871.35,2939200
25-Aug-15,15882.27,16312.94,15651.24,15666.44,15666.44,2132200
26-Aug-15,15676.26,16303.75,15676.26,16285.51,16285.51,2084200
27-Aug-15,16285.51,16666.69,16285.51,16654.77,16654.77,1719800
28-Aug-15,16649.42,16669.97,16535.18,16643.01,16643.01,1317900
31-Aug-15,16632.02,16632.02,16444.05,16528.03,16528.03,1414400
1-Sep-15,16528.03,16528.03,15979.95,16058.35,16058.35,1713900
2-Sep-15,16058.35,16352.58,16058.35,16351.38,16351.38,1334800
3-Sep-15,16364.34,16550.07,16317.31,16374.76,16374.76,1097300
4-Sep-15,16371.76,16371.76,16026.61,16102.38,16102.38,1272700
8-Sep-15,16109.93,16503.41,16109.93,16492.68,16492.68,1238700
9-Sep-15,16505.04,16664.65,16220.1,16253.57,16253.57,1187900
10-Sep-15,16252.57,16441.94,16212.08,16330.4,16330.4,1226900
11-Sep-15,16330.4,16434.76,16244.65,16433.09,16433.09,1046300
14-Sep-15,16450.86,16450.86,16330.87,16370.96,16370.96,926600
15-Sep-15,16382.58,16644.11,16382.58,16599.85,16599.85,930500
16-Sep-15,16599.51,16755.98,16593.9,16739.95,16739.95,996200
17-Sep-15,16738.08,16933.43,16639.93,16674.74,16674.74,1296000
18-Sep-15,16674.74,16674.74,16343.76,16384.58,16384.58,3416900
21-Sep-15,16406.1,16578.6,16391.88,16510.19,16510.19,907300
22-Sep-15,16477.45,16477.45,16221.73,16330.47,16330.47,1190100
23-Sep-15,16332.81,16355.29,16211.98,16279.89,16279.89,860300
24-Sep-15,16257.11,16257.11,16016.36,16201.32,16201.32,1222200
25-Sep-15,16205.07,16465.23,16205.07,16314.67,16314.67,1307900
28-Sep-15,16313.26,16313.26,15981.85,16001.89,16001.89,1399300
29-Sep-15,16001.76,16118.89,15942.37,16049.13,16049.13,1211600
30-Sep-15,16057.08,16297.6,16057.08,16284.7,16284.7,1457400
1-Oct-15,16278.62,16348.87,16073.82,16272.01,16272.01,1114200
2-Oct-15,16258.25,16472.77,16013.66,16472.37,16472.37,1368700
5-Oct-15,16502.1,16798.37,16502.1,16776.43,16776.43,1276600
6-Oct-15,16774.02,16865.09,16746.03,16790.19,16790.19,1200100
7-Oct-15,16805.42,16963.3,16765,16912.29,16912.29,1156900
8-Oct-15,16904.17,17081.28,16859.34,17050.75,17050.75,1007300
9-Oct-15,17054.69,17110.88,17027.23,17084.49,17084.49,1037300
12-Oct-15,17082.29,17139.21,17064.58,17131.86,17131.86,725000
13-Oct-15,17113.55,17172.81,17034.45,17081.89,17081.89,994000
14-Oct-15,17079.08,17111.38,16887.67,16924.75,16924.75,1201100
15-Oct-15,16944.86,17144.42,16933.57,17141.75,17141.75,1229600
16-Oct-15,17141.75,17220.02,17107.35,17215.97,17215.97,1458800
19-Oct-15,17209.43,17235.95,17129.19,17230.54,17230.54,1184300
20-Oct-15,17228.47,17264.88,17147.99,17217.11,17217.11,1066700
21-Oct-15,17225.93,17314.99,17153.13,17168.61,17168.61,1071000
22-Oct-15,17180.88,17505.18,17180.88,17489.16,17489.16,1524200
23-Oct-15,17525.11,17679.37,17525.11,17646.7,17646.7,1580900
26-Oct-15,17649.57,17660.7,17602.51,17623.05,17623.05,1166600
27-Oct-15,17608.89,17635.18,17540.57,17581.43,17581.43,1139600
28-Oct-15,17586.69,17779.95,17556.71,17779.52,17779.52,1156300
29-Oct-15,17771.5,17786,17684.72,17755.8,17755.8,903000
30-Oct-15,17756.6,17799.96,17662.87,17663.54,17663.54,1492500
